"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","4729","0.0-0.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","","","","","","","","","",""
"","","","","","survey-multi-select","1","14633","0.0-1.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","9902","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","37913","0.0-2.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","23279","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_D.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are facing serious difficulties. Many people are disappointed about the current difficulties.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","40760","0.0-3.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","2845","arrowleft","","images/exp3/B_D_U_12_left.png","map_trial","images/exp3/B_D_U_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","4","42256","0.0-4.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","1388","arrowright","","images/exp3/B_D_U_10_right.png","map_trial","images/exp3/B_D_U_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","5","43104","0.0-5.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","745","arrowleft","","images/exp3/B_D_U_7_left.png","map_trial","images/exp3/B_D_U_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","44920","0.0-6.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","1709","arrowleft","","images/exp3/B_D_U_11_left.png","map_trial","images/exp3/B_D_U_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","7","45688","0.0-7.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","662","arrowright","","images/exp3/B_D_U_1_right.png","map_trial","images/exp3/B_D_U_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","8","46752","0.0-8.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","956","arrowright","","images/exp3/B_D_U_5_right.png","map_trial","images/exp3/B_D_U_5_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","9","47616","0.0-9.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","760","arrowleft","","images/exp3/B_D_U_3_left.png","map_trial","images/exp3/B_D_U_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","10","48456","0.0-10.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","733","arrowright","","images/exp3/B_D_U_2_right.png","map_trial","images/exp3/B_D_U_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","11","50728","0.0-11.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","2163","arrowleft","","images/exp3/B_D_U_8_left.png","map_trial","images/exp3/B_D_U_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","12","51657","0.0-12.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","824","arrowright","","images/exp3/B_D_U_6_right.png","map_trial","images/exp3/B_D_U_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","13","52617","0.0-13.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","851","arrowleft","","images/exp3/B_D_U_4_left.png","map_trial","images/exp3/B_D_U_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","14","53632","0.0-14.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","905","arrowright","","images/exp3/B_D_U_9_right.png","map_trial","images/exp3/B_D_U_9_right.png","arrowright","true","",""
"","","","","","html-button-response","15","57307","0.0-15.0","o12wa9x9n2","3","negative_negative","A183WYXN12P2TJ","32204AGAABNHJ7DMA4390OH2B06GHN","3571","0","","
            <div class=""instructions"" style=""text-align: left; width:600px; margin: 0 auto;"">
            <p>Great job! You have evaluated all the maps.</p>
            <p>You will now be presented with a series of statements where you will be asked to indicate your level of agreement or disagreement.<br>                Following that, you will be asked to answer a few demographic questions.</p>
            <p>Press 'Continue' when you are ready.</p>
            </div>
            ","","","","","",""
