"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","526","0.0-0.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","","","","","","","","","",""
"","","","","","survey-multi-select","1","24487","0.0-1.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","23959","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","119035","0.0-2.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","94547","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_L.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are facing serious difficulties. Many people are disappointed about the current difficulties.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","122639","0.0-3.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","3603","arrowleft","","images/exp3/B_L_S_11_left.png","map_trial","images/exp3/B_L_S_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","4","124862","0.0-4.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","2108","arrowright","","images/exp3/B_L_S_1_right.png","map_trial","images/exp3/B_L_S_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","5","126331","0.0-5.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","1366","arrowleft","","images/exp3/B_L_S_3_left.png","map_trial","images/exp3/B_L_S_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","127988","0.0-6.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","1552","arrowright","","images/exp3/B_L_S_10_right.png","map_trial","images/exp3/B_L_S_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","7","129425","0.0-7.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","1334","arrowleft","","images/exp3/B_L_S_4_left.png","map_trial","images/exp3/B_L_S_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","8","130583","0.0-8.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","1049","arrowleft","","images/exp3/B_L_S_7_left.png","map_trial","images/exp3/B_L_S_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","131780","0.0-9.0","0yebwkp260","2","negative_positive","A3RR85PK3AV9TU","3Q2T3FD0ONJ2H9296MC29Z0POH0M3U","1089","arrowleft","","images/exp3/B_L_S_8_left.png","map_trial","images/exp3/B_L_S_8_left.png","arrowleft","true","",""
